Fecha;Cuenta Contable;Tipo Movimiento;"Clasificación;Documento Fiscal;Centro de Costo";Valor;Saldo
30/8/2022;201;Salida;"Gastos en servicios;1008761;198502";33478;2324866
30/8/2022;301;Salida;"Gastos administrativos;1008783;198504";77692;2247174
30/8/2022;101;Entrada;"Ingresos por ventas ;1008604;198505";94926;2342100
30/8/2022;301;Salida;"Gastos administrativos;1008634;198501";75935;2266165
30/8/2022;202;Entrada;"Ingresos por ventas;1008657;198505";58116;2324281
2/9/2022;201;Salida;"Gastos en servicios;1008700;198502";44325;2279956
2/9/2022;301;Salida;"Gastos administrativos;1008722;198501";88616;2191340
2/9/2022;202;Entrada;"Ingresos por ventas;1008762;198501";92091;2283431
2/9/2022;101;Entrada;"Ingresos por ventas ;1008784;198501";87797;2371228
5/9/2022;201;Salida;"Gastos en servicios;1008605;198503";46459;2324769
5/9/2022;101;Entrada;"Ingresos por ventas ;1008635;198505";58086;2382855
5/9/2022;301;Entrada;"Ingresos por ventas;1008658;198501";59272;2442127
5/9/2022;202;Entrada;"Ingresos por ventas;1008701;198501";72434;2514561
6/9/2022;301;Salida;"Gastos administrativos;1008742;198503";22885;2491676
6/9/2022;301;Salida;"Gastos administrativos;1008763;198505";22456;2469220
6/9/2022;202;Entrada;"Ingresos por ventas;1008606;198505";71486;2540706
6/9/2022;201;Salida;"Gastos en servicios;1008636;198502";91006;2449700
7/9/2022;101;Entrada;"Ingresos por ventas ;1008679;198502";60843;2510543
7/9/2022;301;Salida;"Gastos administrativos;1008702;198505";22920;2487623
7/9/2022;101;Entrada;"Ingresos por ventas ;1008743;198503";84320;2571943
7/9/2022;101;Entrada;"Ingresos por ventas ;1008764;198505";71977;2643920
11/9/2022;202;Entrada;"Ingresos por ventas;1008637;198505";77751;2721671
11/9/2022;201;Salida;"Gastos en servicios;1008680;198503";46356;2675315
11/9/2022;101;Entrada;"Ingresos por ventas ;1008703;198501";85195;2760510
11/9/2022;101;Entrada;"Ingresos por ventas ;1008723;198501";75129;2835639
21/9/2022;201;Salida;"Gastos en servicios;1008744;198505";46625;2789014
21/9/2022;201;Salida;"Gastos en servicios;1008785;198505";47224;2741790
21/9/2022;301;Salida;"Gastos administrativos;1008638;198504";55725;2686065
22/9/2022;101;Entrada;"Ingresos por ventas ;1008659;198501";80002;2766067
23/9/2022;202;Entrada;"Ingresos por ventas;1008681;198505";87695;2853762
24/9/2022;201;Salida;"Gastos en servicios;1008724;198501";54190;2799572
24/9/2022;202;Entrada;"Ingresos por ventas;1008745;198504";60068;2859640
26/9/2022;202;Entrada;"Ingresos por ventas;1008786;198504";73772;2933412
26/9/2022;301;Salida;"Gastos administrativos;1008607;198503";33815;2899597
27/9/2022;201;Salida;"Gastos en servicios;1008660;198503";91299;2808298
27/9/2022;301;Salida;"Gastos administrativos;1008682;198501";22014;2786284
27/9/2022;202;Entrada;"Ingresos por ventas;1008725;198504";59909;2846193
27/9/2022;301;Salida;"Gastos administrativos;1008746;198501";58017;2788176
1/10/2022;201;Salida;"Gastos en servicios;1008765;198504";22932;2765244
1/10/2022;301;Salida;"Gastos administrativos;1008787;198502";21360;2743884
5/10/2022;101;Entrada;"Ingresos por ventas ;1008608;198503";92268;2836152
5/10/2022;202;Entrada;"Ingresos por ventas;1008661;198504";84245;2920397
8/10/2022;101;Entrada;"Ingresos por ventas ;1008683;198501";79715;3000112
8/10/2022;201;Salida;"Gastos en servicios;1008704;198503";54839;2945273
15/10/2022;301;Salida;"Gastos administrativos;1008726;198503";33604;2911669
15/10/2022;202;Entrada;"Ingresos por ventas;1008766;198505";78060;2989729
15/10/2022;101;Entrada;"Ingresos por ventas ;1008788;198503";55581;3045310
15/10/2022;201;Salida;"Gastos en servicios;1008609;198502";92897;2952413
30/10/2022;101;Entrada;"Ingresos por ventas ;1008639;198504";57571;3009984
30/10/2022;301;Salida;"Gastos administrativos;1008662;198502";57571;2952413
1/11/2022;202;Entrada;"Ingresos por ventas;1008705;198501";60247;3012660
1/11/2022;101;Entrada;"Ingresos por ventas ;1008727;198505";95069;3107729
24/11/2022;301;Salida;"Gastos administrativos;1008767;198505";55846;3051883
24/11/2022;201;Salida;"Gastos en servicios;1008789;198502";56688;2995195
29/11/2022;202;Entrada;"Ingresos por ventas;1008610;198503";85053;3080248
29/11/2022;201;Salida;"Gastos en servicios;1008640;198504";54629;3025619
4/12/2022;301;Salida;"Gastos administrativos;1008706;198504";85078;2940541
4/12/2022;101;Entrada;"Ingresos por ventas ;1008747;198503";67856;3008397
